Temp,Lumin,Mag,Name
3068,0.0024,16.12,BrownDwarf
3042,0.0005,16.6,BrownDwarf
2600,0.0003,18.7,BrownDwarf
2800,0.0002,16.65,BrownDwarf
1939,0.000138,20.06,BrownDwarf
2840,0.00065,16.98,BrownDwarf
2637,0.00073,17.22,BrownDwarf
2600,0.0004,17.4,BrownDwarf
2650,0.00069,17.45,BrownDwarf
2700,0.00018,16.05,BrownDwarf
3600,0.0029,10.69,RedDwarf
3129,0.0122,11.79,RedDwarf
3134,0.0004,13.21,RedDwarf
3628,0.0055,10.48,RedDwarf
2650,0.0006,11.782,RedDwarf
3340,0.0038,13.07,RedDwarf
2799,0.0018,14.79,RedDwarf
3692,0.00367,10.8,RedDwarf
3192,0.00362,13.53,RedDwarf
3441,0.039,11.18,RedDwarf
25000,0.056,10.58,WhiteDwarf
7740,0.00049,14.02,WhiteDwarf
7220,0.00017,14.23,WhiteDwarf
8500,0.0005,14.5,WhiteDwarf
16500,0.013,11.89,WhiteDwarf
12990,8.5e-05,12.23,WhiteDwarf
8570,0.00081,14.2,WhiteDwarf
7700,0.00011,14.47,WhiteDwarf
11790,0.00015,12.59,WhiteDwarf
7230,8e-05,14.08,WhiteDwarf
39000,204000.0,-4.7,MainSequence
30000,28840.0,-4.2,MainSequence
15276,1136.0,-1.97,MainSequence
9700,74.0,0.16,MainSequence
5800,0.81,5.05,MainSequence
8052,8.7,2.42,MainSequence
6757,1.43,2.41,MainSequence
6380,1.35,2.93,MainSequence
5936,1.357,4.46,MainSequence
5587,0.819,5.03,MainSequence
3826,200000.0,-6.93,SuperGiant
3365,340000.0,-6.2,SuperGiant
3270,150000.0,-6.02,SuperGiant
3200,195000.0,-7.22,SuperGiant
3008,280000.0,-6.0,SuperGiant
3600,320000.0,-6.6,SuperGiant
3575,123000.0,-6.78,SuperGiant
3574,200000.0,-5.24,SuperGiant
3625,184000.0,-6.74,SuperGiant
33750,220000.0,-6.1,SuperGiant
3490,270000.0,-9.4,HyperGiant
3750,283000.0,-7.63,HyperGiant
3834,272000.0,-9.2,HyperGiant
3749,550000.0,-8.05,HyperGiant
3650,310000.0,-7.79,HyperGiant
3450,263000.0,-11.75,HyperGiant
3660,363000.0,-11.92,HyperGiant
3450,174000.0,-11.28,HyperGiant
3752,209000.0,-11.24,HyperGiant
3535,195000.0,-11.36,HyperGiant
3341,0.0056,16.23,BrownDwarf
3432,0.00067,16.94,BrownDwarf
2983,0.00024,16.09,BrownDwarf
2835,0.00034,16.96,BrownDwarf
2935,0.00014,18.89,BrownDwarf
3295,0.00098,17.13,BrownDwarf
2945,0.00032,18.34,BrownDwarf
2817,0.00098,16.45,BrownDwarf
2774,0.00036,17.39,BrownDwarf
2871,0.00072,19.43,BrownDwarf
3345,0.021,12.3,RedDwarf
3607,0.022,10.12,RedDwarf
3304,0.0085,13.2,RedDwarf
3150,0.0088,11.94,RedDwarf
3550,0.004,10.89,RedDwarf
3180,0.001,11.76,RedDwarf
2890,0.0034,13.46,RedDwarf
3342,0.0015,11.87,RedDwarf
2621,0.0006,12.81,RedDwarf
3158,0.00135,13.98,RedDwarf
7100,0.00029,14.09,WhiteDwarf
10574,0.00014,12.02,WhiteDwarf
8930,0.00056,13.78,WhiteDwarf
17200,0.00098,12.45,WhiteDwarf
14100,0.00067,12.17,WhiteDwarf
9675,0.00045,13.98,WhiteDwarf
12010,0.00078,12.13,WhiteDwarf
10980,0.00074,11.19,WhiteDwarf
13720,0.00018,12.97,WhiteDwarf
19860,0.0011,11.34,WhiteDwarf
5300,0.59,5.49,MainSequence
4526,0.153,6.506,MainSequence
4077,0.085,6.228,MainSequence
4980,0.357,4.78,MainSequence
9030,45.0,1.45,MainSequence
11250,672.0,-2.3,MainSequence
5112,0.63,4.68,MainSequence
7720,7.92,2.44,MainSequence
12098,689.0,0.02,MainSequence
36108,198000.0,-4.4,MainSequence
33300,240000.0,-6.5,SuperGiant
40000,813000.0,-6.23,SuperGiant
23000,127000.0,-5.76,SuperGiant
17120,235000.0,-6.89,SuperGiant
11096,112000.0,-5.91,SuperGiant
14245,231000.0,-6.12,SuperGiant
24630,363000.0,-5.83,SuperGiant
12893,184000.0,-6.34,SuperGiant
24345,142000.0,-6.24,SuperGiant
33421,352000.0,-5.79,SuperGiant
3459,100000.0,-10.7,HyperGiant
3605,126000.0,-10.81,HyperGiant
3615,200000.0,-11.33,HyperGiant
3399,117000.0,-10.92,HyperGiant
3610,132000.0,-10.86,HyperGiant
3553,145000.0,-11.03,HyperGiant
4015,282000.0,-11.39,HyperGiant
3625,74000.0,-10.25,HyperGiant
6850,229000.0,-10.07,HyperGiant
3780,200000.0,-10.7,HyperGiant
3323,0.00043,17.16,BrownDwarf
3531,0.00093,19.94,BrownDwarf
3218,0.00054,20.02,BrownDwarf
3146,0.00015,16.92,BrownDwarf
3511,0.00064,17.12,BrownDwarf
3225,0.00076,19.63,BrownDwarf
2935,0.00087,16.88,BrownDwarf
2861,0.00019,16.71,BrownDwarf
2856,0.000896,19.56,BrownDwarf
2731,0.000437,18.09,BrownDwarf
3095,0.00019,10.87,RedDwarf
3607,0.00023,10.34,RedDwarf
3100,0.008,11.17,RedDwarf
2989,0.0087,13.12,RedDwarf
3542,0.0009,14.23,RedDwarf
3243,0.0023,14.75,RedDwarf
3091,0.0081,11.43,RedDwarf
3598,0.0011,14.26,RedDwarf
3324,0.0034,12.23,RedDwarf
3541,0.0013,14.33,RedDwarf
13420,0.00059,13.67,WhiteDwarf
21020,0.0015,11.52,WhiteDwarf
18290,0.0013,12.78,WhiteDwarf
14520,0.00082,11.92,WhiteDwarf
11900,0.00067,11.38,WhiteDwarf
8924,0.00028,14.87,WhiteDwarf
12912,0.00071,12.83,WhiteDwarf
14732,0.00011,12.89,WhiteDwarf
7723,0.00014,14.81,WhiteDwarf
12984,0.00088,11.23,WhiteDwarf
29560,188000.0,-4.01,MainSequence
8945,38.0,0.12,MainSequence
14060,1092.0,-2.04,MainSequence
16390,1278.0,-3.32,MainSequence
25070,14500.0,-3.98,MainSequence
28700,16790.0,-4.09,MainSequence
26140,14520.0,-3.8,MainSequence
20120,4720.0,-3.4,MainSequence
13023,998.0,-1.38,MainSequence
37800,202900.0,-4.56,MainSequence
25390,223000.0,-5.92,SuperGiant
11567,251000.0,-6.245,SuperGiant
12675,452000.0,-5.62,SuperGiant
5752,245000.0,-6.63,SuperGiant
8927,239000.0,-7.34,SuperGiant
7282,131000.0,-7.22,SuperGiant
19923,152000.0,-5.69,SuperGiant
26373,198000.0,-5.83,SuperGiant
17383,342900.0,-6.09,SuperGiant
9373,424520.0,-5.99,SuperGiant
3570,320000.0,-7.58,HyperGiant
3500,138000.0,-8.18,HyperGiant
4287,630000.0,-9.2,HyperGiant
26000,316000.0,-9.1,HyperGiant
3600,240000.0,-7.89,HyperGiant
3614,145000.0,-7.71,HyperGiant
18000,200000.0,-8.3,HyperGiant
11000,170000.0,-9.9,HyperGiant
12100,120000.0,-7.84,HyperGiant
24490,248490.0,-8.24,HyperGiant
2831,0.000231,16.21,BrownDwarf
2914,0.000631,18.39,BrownDwarf
3419,0.000245,17.56,BrownDwarf
3218,0.000452,17.34,BrownDwarf
3453,0.000621,17.08,BrownDwarf
2889,0.000352,16.93,BrownDwarf
2968,0.000461,17.45,BrownDwarf
3484,0.000551,16.67,BrownDwarf
2778,0.000849,19.45,BrownDwarf
3523,0.000957,16.35,BrownDwarf
3462,0.0053,11.47,RedDwarf
3257,0.0024,10.73,RedDwarf
2994,0.0072,13.45,RedDwarf
3212,0.0016,12.854,RedDwarf
3523,0.0054,12.43,RedDwarf
3598,0.0027,13.667,RedDwarf
3142,0.00132,14.12,RedDwarf
3496,0.00125,14.94,RedDwarf
3324,0.0065,12.78,RedDwarf
3463,0.0027,14.776,RedDwarf
16790,0.0014,12.87,WhiteDwarf
15680,0.00122,11.92,WhiteDwarf
14982,0.00118,12.23,WhiteDwarf
13340,0.00109,12.9,WhiteDwarf
18340,0.00134,11.22,WhiteDwarf
19920,0.00156,11.34,WhiteDwarf
24020,0.00159,10.55,WhiteDwarf
23092,0.00132,10.18,WhiteDwarf
17920,0.00111,11.66,WhiteDwarf
19360,0.00125,11.62,WhiteDwarf
22350,12450.0,-3.67,MainSequence
10012,552.0,0.013,MainSequence
13089,788.0,-0.12,MainSequence
22012,6748.0,-2.55,MainSequence
34190,198200.0,-4.57,MainSequence
32460,173800.0,-4.36,MainSequence
9320,29.0,1.236,MainSequence
19400,10920.0,-3.08,MainSequence
17140,883.0,-2.64,MainSequence
8250,9.25,-0.98,MainSequence
23678,244290.0,-6.27,SuperGiant
12749,332520.0,-7.02,SuperGiant
9383,342940.0,-6.98,SuperGiant
23440,537430.0,-5.975,SuperGiant
16787,246730.0,-6.35,SuperGiant
18734,224780.0,-7.45,SuperGiant
9892,593900.0,-7.262,SuperGiant
10930,783930.0,-6.224,SuperGiant
23095,347820.0,-5.905,SuperGiant
21738,748890.0,-7.346,SuperGiant
24145,382993.0,-8.84,HyperGiant
38234,272830.0,-9.29,HyperGiant
32489,648430.0,-10.84,HyperGiant
27739,849420.0,-7.59,HyperGiant
21904,748490.0,-7.67,HyperGiant
38940,374830.0,-9.93,HyperGiant
30839,834042.0,-10.63,HyperGiant
8829,537493.0,-10.73,HyperGiant
9235,404940.0,-11.23,HyperGiant
37882,294903.0,-7.8,HyperGiant
